"category_id","category","recipe_id"
"296","퓨전","1000957"
"297","퓨전","1000958"
"298","퓨전","1000959"
"299","퓨전","1000960"
"300","퓨전","1000961"
"301","퓨전","1000962"
"302","퓨전","1000963"
"303","퓨전","1000964"
"304","퓨전","1000965"
"305","퓨전","1000966"
"306","퓨전","1000967"
"307","퓨전","1000968"
"308","퓨전","1000969"
"309","한식","1000970"
"310","한식","1000971"
"311","한식","1000972"
"312","한식","1000973"
"313","한식","1000974"
"314","한식","1000975"
"315","한식","1000976"
"316","한식","1000977"
"317","한식","1000978"
"318","한식","1000979"
"319","한식","1000980"
"320","한식","1000981"
"321","한식","1000982"
"322","한식","1000983"
"323","한식","1000984"
"324","한식","1000985"
"325","한식","1000986"
"326","한식","1000987"
"327","한식","1000988"
"328","한식","1000989"
"329","한식","1000990"
"330","한식","1000991"
"331","한식","1000992"
"332","한식","1000993"
"333","한식","1000994"
"334","한식","1000995"
"335","한식","1000996"
"336","한식","1000997"
"337","한식","1000998"
"338","한식","1000999"
"339","한식","1001000"
"340","한식","1001001"
"341","한식","1001002"
"342","한식","1001003"
"343","한식","1001004"
"344","한식","1001005"
"345","한식","1001006"
"346","한식","1001007"
"347","한식","1001008"
"348","한식","1001009"
"349","한식","1001010"
"350","한식","1001011"
"351","한식","1001012"
"352","한식","1001013"
"353","한식","1001014"
"354","한식","1001015"
"355","한식","1001016"
"356","한식","1001017"
"357","한식","1001018"
"358","한식","1001019"
"359","양식","1001020"
"360","양식","1001021"
"361","양식","1001022"
"362","양식","1001023"
"363","양식","1001024"
"364","양식","1001025"
"365","양식","1001026"
"366","일식","1001027"
"367","일식","1001028"
"368","일식","1001029"
"369","일식","1001030"
"370","일식","1001031"
"371","일식","1001032"
"372","일식","1001033"
"373","일식","1001034"
"374","일식","1001035"
"375","중식","1001036"
"376","중식","1001037"
"377","중식","1001038"
"378","중식","1001039"
"379","중식","1001040"
"380","중식","1001041"
"381","중식","1001042"
"382","중식","1001043"
"383","중식","1001044"
"384","중식","1001045"
"385","아시안","1001046"
"386","아시안","1001047"
"387","이탈리아","1001048"
"388","이탈리아","1001049"
"389","이탈리아","1001050"
"390","이탈리아","1001051"
"391","이탈리아","1001052"
"392","이탈리아","1001053"
"393","이탈리아","1001054"
"394","이탈리아","1001055"
"395","이탈리아","1001056"
"396","이탈리아","1001057"
"397","이탈리아","1001058"
"398","이탈리아","1001059"
"399","이탈리아","1001060"
"400","이탈리아","1001061"
"401","이탈리아","1001062"
"402","이탈리아","1001063"
"403","이탈리아","1001064"
"404","이탈리아","1001065"
"405","이탈리아","1001066"
"406","이탈리아","1001067"
"407","이탈리아","1001068"
"408","이탈리아","1001069"
"409","이탈리아","1001070"
"410","이탈리아","1001071"
"411","이탈리아","1001072"
"412","이탈리아","1001073"
"413","이탈리아","1001074"
"414","이탈리아","1001075"
"415","이탈리아","1001076"
"416","이탈리아","1001077"
"417","이탈리아","1001078"
"418","이탈리아","1001079"
"419","이탈리아","1001080"
"420","이탈리아","1001081"
"421","이탈리아","1001082"
"422","퓨전","1001083"
"423","퓨전","1001084"
"424","퓨전","1001085"
"425","퓨전","1001086"
"426","퓨전","1001087"
"427","퓨전","1001088"
"428","퓨전","1001089"
"429","퓨전","1001090"
"430","퓨전","1001091"
"431","퓨전","1001092"
"432","퓨전","1001093"
"433","퓨전","1001094"
"434","퓨전","1001095"
"435","퓨전","1001096"
"436","퓨전","1001097"
"437","퓨전","1001098"
"438","퓨전","1001099"
"439","퓨전","1001100"
"440","퓨전","1001101"
"441","퓨전","1001102"
"442","퓨전","1001103"
"443","퓨전","1001104"
"444","퓨전","1001105"
"445","한식","1001106"
"446","한식","1001107"
"447","한식","1001108"
"448","한식","1001109"
"449","한식","1001110"
"450","한식","1001111"
"451","한식","1001112"
"452","한식","1001113"
"453","한식","1001114"
"454","한식","1001115"
"455","한식","1001116"
"456","한식","1001117"
"457","한식","1001118"
"458","한식","1001119"
"459","한식","1001120"
"460","한식","1001121"
"461","한식","1001122"
"462","한식","1001123"
"463","한식","1001124"
"464","한식","1001125"
"465","한식","1001126"
"466","한식","1001127"
"467","한식","1001128"
"468","한식","1001129"
"469","한식","1001130"
"470","한식","1001131"
"471","한식","1001132"
"472","한식","1001133"
"473","한식","1001134"
"474","한식","1001135"
"475","한식","1001136"
"476","한식","1001137"
"477","한식","1001138"
"478","한식","1001139"
"479","한식","1001140"
"480","한식","1001141"
"481","한식","1001142"
"482","한식","1001143"
"483","한식","1001144"
"484","한식","1001145"
"485","한식","1001146"
