recipe_id,user_token_id,star_count,age,gender,category_value,recipe_view_count,values
1000004,2771733400,0,20-29,여자,0.02681992337164751,0.125,0.8931992337164751
1000078,2771733400,0,20-29,여자,0.02681992337164751,0.125,0.8931992337164751
1002023,2771733400,0,20-29,여자,0.02681992337164751,0.125,0.8931992337164751
1002341,2771733400,0,20-29,여자,0.02681992337164751,0.125,0.8931992337164751
1002465,2771733400,0,20-29,여자,0.02681992337164751,0.125,0.8931992337164751
0,2947093440,0,20-29,여자,0.0,0.0,0.0
1000004,3001319108,0,20-29,여자,0.042692939244663386,0.125,1.0519293924466337
1000006,3001319108,0,20-29,여자,0.042692939244663386,0.875,4.801929392446634
1000078,3001319108,0,20-29,여자,0.042692939244663386,0.625,3.5519293924466337
1001640,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002045,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002047,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002259,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002465,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002477,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002490,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002491,3001319108,0,20-29,여자,0.042692939244663386,0.0,0.42692939244663386
1002492,3001319108,0,20-29,여자,0.042692939244663386,1.0,5.426929392446634
0,3038517892,0,20-29,여자,0.0,0.0,0.0
1000033,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000082,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000789,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000796,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000811,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000815,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000876,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000879,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1000995,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001000,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001012,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001024,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001108,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001115,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001208,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001269,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001318,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001324,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001326,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001338,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001346,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001443,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001473,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001579,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001586,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001705,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001708,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001719,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001757,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001768,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001770,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001792,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001835,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001890,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001913,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1001918,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002021,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002054,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002058,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002069,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002071,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002076,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002089,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002091,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002102,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002109,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002112,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002124,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002131,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002146,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002148,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002149,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002156,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002169,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002171,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002174,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002175,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002184,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002185,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002197,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002199,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002201,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002203,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
1002208,test-d50-k30-w20,0,20-29,여자,0.3716475095785441,0.0,3.716475095785441
